SECCIO_CENSAL;HOMES;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS;DATA_DADES
09056;585;667;108;107;756;281;1111;11;130;10/01/11
09057;746;874;170;163;861;426;1354;32;234;10/01/11
09058;653;731;218;98;837;231;1205;25;154;10/01/11
09059;650;703;153;99;769;332;1203;22;128;10/01/11
09060;594;705;159;109;743;288;1180;10;109;10/01/11
09061;827;881;294;144;1014;256;1590;28;90;10/01/11
09062;541;559;151;81;697;171;910;21;169;10/01/11
09063;602;617;165;98;751;205;1080;34;105;10/01/11
09064;594;676;121;174;758;217;1133;24;113;10/01/11
09065;976;1117;205;249;1266;373;1783;38;272;10/01/11
09066;608;701;147;109;812;241;1176;27;106;10/01/11
09067;624;728;137;112;774;329;1216;15;121;10/01/11
09068;743;833;204;138;888;346;1434;30;112;10/01/11
09069;411;516;88;71;413;355;850;14;63;10/01/11
09070;875;1006;213;151;1076;441;1471;38;372;10/01/11
09071;847;983;194;181;983;472;1545;26;259;10/01/11
09072;665;817;173;100;840;369;1145;32;305;10/01/11
09073;729;824;159;182;943;269;1435;20;98;10/01/11
09074;728;902;189;136;764;541;1461;49;120;10/01/11
09075;668;822;179;155;787;369;1288;32;170;10/01/11
09076;618;774;139;105;689;459;1241;25;126;10/01/11
09077;672;830;160;107;726;509;1354;28;120;10/01/11
09078;692;779;183;131;800;357;1192;80;199;10/01/11
09079;726;864;195;150;902;343;1388;30;172;10/01/11
09080;657;732;147;122;824;296;1170;32;187;10/01/11
09081;819;957;226;142;1027;381;1494;48;234;10/01/11
09082;841;1013;237;156;1090;371;1557;60;237;10/01/11
09083;736;837;191;118;868;396;1429;30;114;10/01/11
09084;773;889;189;154;974;345;1439;46;177;10/01/11
09085;769;884;191;129;903;430;1450;24;179;10/01/11
09086;662;764;175;119;786;346;1212;37;177;10/01/11
09087;605;671;140;116;697;323;1108;17;151;10/01/11
09088;830;969;207;179;1013;400;1473;51;275;10/01/11
09089;655;813;150;103;766;449;1270;36;162;10/01/11
09090;777;825;171;125;965;341;1338;36;228;10/01/11
09091;904;965;201;179;1094;395;1613;36;220;10/01/11
09092;975;1051;247;188;1192;399;1725;43;258;10/01/11
09093;656;724;179;124;777;300;1247;29;104;10/01/11
09094;930;1081;266;176;1212;357;1710;50;251;10/01/11
09095;960;1135;262;189;1200;444;1778;58;259;10/01/11
10001;788;847;182;134;946;373;1311;38;286;10/01/11
10002;817;899;185;132;1063;336;1479;53;184;10/01/11
10003;694;749;190;106;844;303;1249;34;160;10/01/11
10004;633;763;146;98;827;325;1222;35;139;10/01/11
10005;767;843;153;164;972;321;1386;49;175;10/01/11
10006;789;955;192;127;956;469;1503;57;184;10/01/11
10007;660;679;129;95;852;263;1246;33;60;10/01/11
10008;787;934;159;107;1009;446;1424;60;237;10/01/11
10009;759;899;160;130;979;389;1394;63;201;10/01/11
10010;782;938;174;112;1014;420;1446;63;211;10/01/11
10011;574;688;126;104;778;254;1099;40;123;10/01/11
10012;877;966;206;164;1098;375;1585;76;182;10/01/11
10013;650;772;169;97;825;331;1189;55;178;10/01/11
10014;671;744;132;114;841;328;1150;61;204;10/01/11
10015;840;965;150;164;1066;425;1488;87;230;10/01/11
10016;635;657;132;145;788;227;1092;38;162;10/01/11
10017;774;896;163;132;980;395;1411;57;202;10/01/11
10018;674;727;146;128;841;286;1089;45;267;10/01/11
10019;760;857;150;160;956;351;1419;40;158;10/01/11
10020;701;802;161;106;902;334;1283;39;181;10/01/11
10021;656;737;166;111;824;292;1157;47;189;10/01/11
10022;601;720;175;103;789;254;1121;45;155;10/01/11
10023;683;766;184;97;819;349;1273;44;132;10/01/11
10024;727;754;205;117;924;235;1204;49;228;10/01/11
10025;611;728;159;105;789;286;1124;46;169;10/01/11
10026;707;796;200;123;939;241;1266;71;166;10/01/11
10027;804;875;229;173;1050;227;1422;45;212;10/01/11
10028;853;942;252;218;1036;289;1566;37;192;10/01/11
10029;761;793;190;118;982;264;1306;45;203;10/01/11
10030;814;931;200;128;1035;382;1573;24;148;10/01/11
10031;742;802;148;135;955;306;1293;54;197;10/01/11
10032;719;760;213;175;966;125;1266;53;160;10/01/11
10033;438;529;111;81;508;267;915;12;40;10/01/11
10034;870;912;195;162;1001;424;1626;35;121;10/01/11
10035;1022;1041;400;188;1217;258;1934;43;86;10/01/11
10036;733;714;323;120;895;109;1317;43;87;10/01/11
10037;1472;1614;325;333;1907;521;2576;104;406;10/01/11
10038;842;856;224;164;1028;282;1423;60;215;10/01/11
10039;815;916;241;155;1070;265;1342;106;283;10/01/11
10040;886;987;242;168;1071;392;1498;61;314;10/01/11
10041;779;801;183;116;937;344;1301;82;197;10/01/11
10042;766;872;194;147;998;299;1168;101;369;10/01/11
10043;840;851;199;217;1034;241;1120;148;423;10/01/11
10044;724;790;134;127;931;322;1275;98;141;10/01/11
10045;571;678;150;129;798;172;1099;72;78;10/01/11
10046;622;674;117;89;793;297;1092;84;120;10/01/11
10047;853;925;160;175;1097;346;1505;124;149;10/01/11
10048;773;878;219;137;985;310;1292;140;219;10/01/11
10049;658;692;154;115;837;244;1135;86;129;10/01/11
10050;770;892;195;186;966;315;1435;92;135;10/01/11
10051;754;824;259;120;964;235;1325;135;118;10/01/11
10052;1158;1158;463;203;1510;140;1922;230;164;10/01/11
10053;916;946;309;255;1160;138;1530;199;133;10/01/11
10054;476;534;184;106;602;118;853;102;55;10/01/11
10055;1263;1258;551;264;1491;215;2105;226;190;10/01/11
10056;879;894;215;144;1111;303;1263;165;345;10/01/11
10057;630;657;130;63;805;289;1035;92;160;10/01/11
10058;551;520;107;75;642;247;816;52;203;10/01/11
10059;728;780;181;88;911;328;1212;132;164;10/01/11
10060;821;801;240;132;1009;241;1187;113;322;10/01/11
10061;777;859;203;139;911;383;1432;102;102;10/01/11
10062;727;772;234;119;904;242;1334;74;91;10/01/11
10063;633;654;160;133;739;255;1141;45;101;10/01/11
10064;776;798;197;146;941;290;1265;123;186;10/01/11
10065;738;778;199;133;928;256;1363;73;80;10/01/11
10066;988;1041;359;127;1213;330;1744;99;186;10/01/11
10067;887;939;486;89;1093;158;1600;129;97;10/01/11
10068;762;772;337;88;948;161;1415;55;64;10/01/11
10069;919;977;324;98;1106;368;1604;88;204;10/01/11
10070;802;897;248;162;986;303;1378;86;235;10/01/11
10071;899;876;282;147;1126;220;1596;80;99;10/01/11
10072;987;1004;348;126;1183;334;1686;98;207;10/01/11
10073;705;778;155;123;851;354;1324;43;116;10/01/11
10074;831;890;265;150;963;343;1369;92;260;10/01/11
10075;762;758;226;141;873;280;1313;70;137;10/01/11
10076;2049;2266;406;249;2595;1065;3802;172;341;10/01/11
10077;835;886;412;103;1079;127;1483;123;115;10/01/11
10078;1012;1070;520;76;1351;135;1835;121;126;10/01/11
10079;847;923;317;127;1054;272;1613;65;92;10/01/11
10080;1125;1031;488;124;1419;125;1433;373;350;10/01/11
10081;934;950;234;166;1072;412;1466;48;370;10/01/11
10082;1077;942;329;222;1154;314;1103;46;870;10/01/11
10083;1294;933;384;241;1299;303;1170;23;1034;10/01/11
10084;762;835;222;161;892;322;1168;39;390;10/01/11
10085;1145;933;316;207;1117;438;1366;46;666;10/01/11
10086;927;967;271;169;986;469;1482;57;356;10/01/11
10087;914;938;263;183;921;485;1439;31;382;10/01/11
10088;781;813;205;203;957;229;1457;15;122;10/01/11
10089;1795;1095;258;369;1917;346;1314;173;1403;10/01/11
10090;659;734;154;146;751;342;1149;54;190;10/01/11
10091;963;1017;231;192;1099;458;1723;40;217;10/01/11
10092;761;849;110;210;1050;240;1517;23;70;10/01/11
10093;559;558;95;138;727;157;1044;13;60;10/01/11
10094;1188;1182;353;184;1628;205;1760;206;404;10/01/11
10095;515;528;124;94;587;238;856;44;143;10/01/11
10096;712;843;256;115;909;275;1315;92;148;10/01/11
10097;716;777;255;86;845;307;1314;74;105;10/01/11
10098;919;972;256;308;1140;187;1765;24;102;10/01/11
10099;496;553;138;112;604;195;997;4;48;10/01/11
10100;715;835;170;122;854;404;1340;67;143;10/01/11
10101;991;1068;275;186;1165;433;1653;73;333;10/01/11
10102;1278;1318;303;228;1535;530;2253;41;302;10/01/11
10103;1098;1176;239;213;1328;494;2091;36;147;10/01/11
10104;867;900;177;319;1097;174;1679;24;64;10/01/11
10105;1060;1172;348;219;1269;396;2063;32;137;10/01/11
10106;495;542;112;83;533;309;939;19;79;10/01/11
10107;724;781;200;158;944;203;1424;28;53;10/01/11
10108;685;760;146;92;837;370;1321;36;88;10/01/11
10109;692;825;156;85;745;531;1353;24;140;10/01/11
10110;743;871;190;101;797;526;1459;32;123;10/01/11
10111;632;705;136;107;779;315;1160;25;152;10/01/11
10112;780;823;162;143;1041;257;1467;34;102;10/01/11
10113;528;609;158;81;628;270;998;20;119;10/01/11
10114;629;764;194;87;752;360;1212;25;156;10/01/11
10115;713;764;156;105;785;431;1277;36;164;10/01/11
10116;922;1000;214;130;1048;530;1582;62;278;10/01/11
10117;619;723;149;104;731;358;1183;33;126;10/01/11
10118;468;518;107;69;473;337;933;17;36;10/01/11
10119;532;613;100;80;589;376;974;31;140;10/01/11
10120;638;805;156;109;698;480;1220;34;189;10/01/11
10121;715;850;189;123;847;406;1306;48;211;10/01/11
10122;769;828;180;178;908;331;1490;16;91;10/01/11
10123;684;735;209;99;850;261;1272;14;133;10/01/11
10124;537;578;109;151;699;156;1053;3;59;10/01/11
10125;566;581;138;81;661;267;1039;7;101;10/01/11
10126;554;566;125;148;644;203;1039;14;67;10/01/11
10127;479;513;181;64;590;157;931;14;47;10/01/11
10128;785;906;168;147;1045;331;1540;42;109;10/01/11
10129;615;650;147;176;800;142;1166;17;82;10/01/11
10130;572;625;124;79;617;377;1080;22;95;10/01/11
10131;551;670;109;176;692;244;1163;9;49;10/01/11
10132;586;631;125;86;612;394;1104;28;85;10/01/11
10133;842;923;201;123;900;541;1506;54;205;10/01/11
10134;731;817;159;76;697;616;1411;26;111;10/01/11
10135;579;650;138;90;700;301;1081;31;117;10/01/11
10136;684;731;158;100;730;427;1288;10;117;10/01/11
10137;797;850;183;170;967;327;1448;32;167;10/01/11
10138;750;806;210;154;841;351;1313;45;198;10/01/11
10139;783;838;169;151;872;429;1357;33;231;10/01/11
10140;734;856;213;139;778;460;1428;12;150;10/01/11
10141;533;584;128;76;545;368;1033;6;78;10/01/11
10142;749;858;198;167;797;445;1404;31;172;10/01/11
10143;825;905;209;173;840;508;1514;21;195;10/01/11
