SECCIO_CENSAL;HOMES;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS;DATA_DADES
07009;535;673;132;91;681;304;1024;43;141;10/01/11
07010;610;718;147;136;741;304;1117;40;171;10/01/11
07011;551;643;119;81;741;253;940;73;181;10/01/11
07012;750;847;138;132;974;353;1334;71;192;10/01/11
07013;586;673;114;145;724;276;1175;21;63;10/01/11
07014;455;517;120;70;517;265;810;28;134;10/01/11
07015;668;759;159;144;788;336;1220;37;170;10/01/11
07016;642;628;151;142;727;250;1144;20;106;10/01/11
07017;735;924;182;121;884;472;1404;66;189;10/01/11
07018;746;928;209;137;914;414;1359;65;250;10/01/11
07019;696;805;167;126;846;362;1299;74;128;10/01/11
07020;687;839;190;124;865;347;1259;66;201;10/01/11
07021;502;533;109;110;639;177;949;32;54;10/01/11
07022;556;618;149;101;692;232;1086;27;61;10/01/11
07023;612;680;169;119;758;246;1150;35;107;10/01/11
07024;654;759;170;106;820;317;1247;50;116;10/01/11
07025;684;762;171;130;832;313;1151;78;217;10/01/11
07026;504;586;91;94;536;369;989;22;79;10/01/11
07027;906;1049;253;149;1071;482;1640;66;249;10/01/11
07028;688;762;224;140;878;208;1198;57;195;10/01/11
07029;665;669;129;120;717;368;1155;31;148;10/01/11
07030;611;736;162;93;745;347;1162;30;155;10/01/11
07031;727;768;175;114;882;324;1236;46;213;10/01/11
07032;648;645;154;110;764;265;1145;49;99;10/01/11
07033;676;752;166;113;829;320;1257;26;145;10/01/11
07034;663;755;165;122;821;310;1273;35;110;10/01/11
07035;786;955;247;139;1002;353;1535;63;143;10/01/11
07036;646;771;154;131;826;306;1213;40;164;10/01/11
07037;657;806;175;132;834;322;1231;35;197;10/01/11
07038;625;740;178;118;755;314;1166;40;159;10/01/11
07039;727;831;199;119;932;308;1366;50;142;10/01/11
07040;668;783;168;115;846;322;1259;55;137;10/01/11
07041;600;791;165;106;824;296;1124;45;222;10/01/11
07042;692;822;162;125;914;313;1273;62;179;10/01/11
07043;639;737;154;112;775;335;1174;66;136;10/01/11
07044;591;725;132;102;751;331;1178;23;115;10/01/11
07045;683;791;165;119;825;365;1275;37;162;10/01/11
07046;621;733;145;90;769;350;1138;37;179;10/01/11
07047;661;730;142;130;811;308;1150;38;203;10/01/11
07048;612;700;169;96;707;340;1117;36;159;10/01/11
07049;573;661;129;100;716;289;1082;17;135;10/01/11
07050;530;619;135;89;653;272;967;34;148;10/01/11
07051;784;946;226;164;962;378;1460;55;215;10/01/11
07052;611;695;156;106;696;348;1232;36;38;10/01/11
07053;715;778;216;136;849;292;1394;27;72;10/01/11
07054;715;797;236;124;851;301;1409;47;56;10/01/11
07055;575;623;170;119;634;275;1162;20;16;10/01/11
07056;594;625;179;95;700;245;1123;27;69;10/01/11
07057;681;771;206;128;820;298;1355;22;75;10/01/11
07058;688;708;194;128;844;230;1305;34;57;10/01/11
07059;645;680;150;124;760;291;1165;54;106;10/01/11
07060;945;984;240;175;1136;378;1634;71;224;10/01/11
07061;661;634;175;121;760;239;1210;19;66;10/01/11
07062;579;649;163;87;784;194;1085;27;116;10/01/11
07063;746;762;205;153;886;264;1351;14;143;10/01/11
07064;820;899;250;146;954;369;1495;42;182;10/01/11
07065;872;923;218;199;1022;356;1426;54;315;10/01/11
07066;882;936;216;183;1021;398;1459;34;325;10/01/11
07067;747;802;226;124;853;346;1294;38;217;10/01/11
07068;574;652;186;115;672;253;1051;20;155;10/01/11
07069;697;738;170;117;842;306;1218;24;193;10/01/11
07070;688;757;206;119;813;307;1231;37;177;10/01/11
07071;656;710;150;139;751;326;1205;28;133;10/01/11
07072;647;695;167;120;745;310;1179;24;139;10/01/11
07073;502;627;122;87;634;286;999;24;106;10/01/11
07074;806;896;229;125;967;381;1457;38;207;10/01/11
07075;614;597;128;115;649;319;1012;27;172;10/01/11
07076;631;685;168;112;705;331;1124;25;167;10/01/11
07077;672;720;194;127;812;259;1174;25;193;10/01/11
07078;687;710;188;136;823;250;1201;45;151;10/01/11
07079;691;767;168;115;833;342;1304;16;138;10/01/11
07080;811;910;266;128;1031;296;1506;25;190;10/01/11
07081;989;1049;279;196;1224;339;1804;47;187;10/01/11
07082;648;688;191;108;765;272;1150;31;155;10/01/11
07083;639;668;128;119;749;311;1109;23;175;10/01/11
07084;654;673;161;106;787;273;1088;37;202;10/01/11
07085;675;713;196;142;813;237;1232;45;111;10/01/11
07086;697;775;184;140;808;340;1212;61;199;10/01/11
07087;776;850;174;150;953;349;1359;34;233;10/01/11
07088;659;664;202;112;760;249;1081;37;205;10/01/11
07089;615;752;151;111;730;375;1188;33;146;10/01/11
07090;720;708;200;133;816;279;1313;21;94;10/01/11
07091;576;650;156;110;655;305;1067;44;115;10/01/11
07092;693;801;126;110;682;576;1187;23;284;10/01/11
07093;744;816;158;140;834;428;1422;33;105;10/01/11
07094;541;686;128;71;585;443;1113;16;98;10/01/11
07095;717;865;225;95;841;421;1402;38;142;10/01/11
07096;678;807;193;102;718;472;1274;28;183;10/01/11
07097;407;570;87;44;344;502;897;11;69;10/01/11
07098;846;956;296;159;984;363;1697;33;72;10/01/11
07099;563;613;144;174;745;113;1058;30;88;10/01/11
07100;571;644;117;86;615;397;1071;39;105;10/01/11
07101;673;740;140;92;731;450;1235;44;134;10/01/11
07102;240;225;62;42;245;116;359;12;94;10/01/11
07103;707;770;164;172;828;313;1198;52;227;10/01/11
07104;756;839;189;157;860;389;1416;31;148;10/01/11
07105;530;558;136;112;630;210;1024;17;47;10/01/11
07106;521;590;113;78;560;360;1041;10;60;10/01/11
07107;570;648;143;107;708;260;1156;12;50;10/01/11
07108;619;669;171;124;729;264;1195;28;65;10/01/11
07109;816;896;172;128;962;450;1538;30;144;10/01/11
07110;443;614;106;67;484;400;995;12;50;10/01/11
07111;439;508;91;63;469;324;899;14;34;10/01/11
07112;568;649;158;117;674;268;1155;5;57;10/01/11
07113;575;612;185;69;653;280;1087;14;86;10/01/11
07114;527;638;160;102;662;241;1095;10;60;10/01/11
07115;503;598;144;109;585;263;1016;36;49;10/01/11
